tanggal,kejadian,kabupaten,provinsi
2020-01-29,Banjir,Kota Medan,Sumatera Utara
2020-06-18,Banjir,Kota Medan,Sumatera Utara
2020-10-16,Banjir,Kota Medan,Sumatera Utara
2020-11-21,Banjir,Kota Medan,Sumatera Utara
2020-12-03,Banjir,Kota Medan,Sumatera Utara
2021-03-30,Banjir,Kota Medan,Sumatera Utara
2021-05-12,Banjir,Kota Medan,Sumatera Utara
2021-07-29,Banjir,Kota Medan,Sumatera Utara
2021-08-20,Banjir,Kota Medan,Sumatera Utara
2021-08-22,Banjir,Kota Medan,Sumatera Utara
2021-10-05,Banjir,Kota Medan,Sumatera Utara
2021-10-07,Banjir,Kota Medan,Sumatera Utara
2021-10-31,Banjir,Kota Medan,Sumatera Utara
2021-11-11,Banjir,Kota Medan,Sumatera Utara
2021-11-23,Banjir,Kota Medan,Sumatera Utara
2021-12-04,Banjir,Kota Medan,Sumatera Utara
2021-12-06,Banjir,Kota Medan,Sumatera Utara
2021-12-21,Banjir,Kota Medan,Sumatera Utara
2022-01-05,Banjir,Kota Medan,Sumatera Utara
2022-02-27,Banjir,Kota Medan,Sumatera Utara
2022-03-09,Banjir,Kota Medan,Sumatera Utara
2022-03-17,Banjir,Kota Medan,Sumatera Utara
2022-04-03,Banjir,Kota Medan,Sumatera Utara
2022-04-08,Banjir,Kota Medan,Sumatera Utara
2022-04-11,Banjir,Kota Medan,Sumatera Utara
2022-04-16,Banjir,Kota Medan,Sumatera Utara
2022-04-17,Banjir,Kota Medan,Sumatera Utara
2022-04-29,Banjir,Kota Medan,Sumatera Utara
2022-05-20,Banjir,Kota Medan,Sumatera Utara
2022-05-28,Banjir,Kota Medan,Sumatera Utara
2022-08-18,Banjir,Kota Medan,Sumatera Utara
2022-10-14,Banjir,Kota Medan,Sumatera Utara
2022-10-30,Banjir,Kota Medan,Sumatera Utara
2022-11-18,Banjir,Kota Medan,Sumatera Utara
2023-08-18,Banjir,Kota Medan,Sumatera Utara
2023-08-19,Banjir,Kota Medan,Sumatera Utara
2023-09-03,Banjir,Kota Medan,Sumatera Utara
2023-09-16,Banjir,Kota Medan,Sumatera Utara
2023-10-06,Banjir,Kota Medan,Sumatera Utara
2023-11-02,Banjir,Kota Medan,Sumatera Utara
2023-11-26,Banjir,Kota Medan,Sumatera Utara
2023-12-05,Banjir,Kota Medan,Sumatera Utara
2024-02-19,Banjir,Kota Medan,Sumatera Utara
2024-06-12,Banjir,Kota Medan,Sumatera Utara
